lat,lng,date,street_id,street_name
53.384322,-2.952091,2021-01,908751,On or near Ullet Road
53.411282,-2.966383,2021-01,911915,On or near Parking Area
53.403765,-2.990791,2021-01,910519,On or near Parking Area
53.402756,-2.983473,2021-01,910325,On or near Gradwell Street
53.402763,-2.974929,2021-01,910363,On or near Oldham Street
53.407200,-2.992766,2021-01,911841,On or near Exchange Passage West
53.388626,-2.962472,2021-01,908569,On or near Teilo Street
53.403998,-2.994136,2021-01,910545,On or near Mann Island
53.401509,-2.973351,2021-01,910417,On or near Rodney Street
53.403765,-2.990791,2021-01,910519,On or near Parking Area
53.381977,-2.944101,2021-01,908733,On or near Sefton Grove
53.384322,-2.952091,2021-01,908751,On or near Ullet Road
53.399466,-2.984615,2021-01,910534,On or near Upper Pownall Street
53.402192,-2.976571,2021-01,910357,On or near Roscoe Place
53.398150,-2.939270,2021-01,909981,On or near Cranborne Road
53.394466,-2.932196,2021-01,909975,On or near Garmoyle Road
53.407963,-2.988662,2021-01,911851,On or near Dale Street
53.397544,-2.923676,2021-01,910052,On or near Sports/recreation Area
53.396415,-2.938149,2021-01,909967,On or near Langton Road
53.377751,-2.928193,2021-01,906841,On or near Briarwood Road
53.407213,-2.979333,2021-01,912015,On or near Pedestrian Subway
53.376586,-2.969521,2021-01,904235,On or near Armstrong Quay
53.384194,-2.946826,2021-01,908742,On or near Linnet Lane
53.378499,-2.926766,2021-01,906840,On or near Carnatic Road
53.387789,-2.979158,2021-01,908698,On or near Northumberland Grove
53.410687,-2.988635,2021-01,911880,On or near Further/higher Educational Building
53.411080,-2.970290,2021-01,911985,On or near Devon Street
53.400836,-2.976450,2021-01,910396,On or near Nightclub
53.402686,-2.958924,2021-01,910108,On or near Rosemary Close
53.361217,-2.922890,2021-01,905902,On or near The Spinnakers
53.393533,-2.946823,2021-01,910291,On or near Laurel Grove
53.409636,-2.988536,2021-01,911852,On or near Cunliffe Street
53.390616,-2.932608,2021-01,908964,On or near Hawarden Avenue
53.372670,-2.959166,2021-01,906858,On or near Park/open Space
53.396503,-2.941790,2021-01,910218,On or near Richardson Street
53.375245,-2.961990,2021-01,906970,On or near Floral Wood
53.388719,-2.922252,2021-01,908866,On or near Welbeck Avenue
53.389814,-2.955582,2021-01,908817,On or near Princes Gate West
53.377283,-2.930603,2021-01,906791,On or near Irwell Close
53.402892,-2.973398,2021-01,910496,On or near Further/higher Educational Building
53.387722,-2.977503,2021-01,908686,On or near Northumberland Street
53.364451,-2.935808,2021-01,905954,On or near Otterspool Drive
53.401569,-2.978061,2021-01,910390,On or near Back Colquitt Street
53.399648,-2.931693,2021-01,909963,On or near Macdonald Street
53.400732,-2.981471,2021-01,910320,On or near Lydia Ann Street
53.411775,-2.987472,2021-01,911812,On or near Pickop Street
53.411775,-2.987472,2021-01,911812,On or near Pickop Street
53.393533,-2.946823,2021-01,910291,On or near Laurel Grove
53.381137,-2.941211,2021-01,908749,On or near Aigburth Drive
53.407829,-2.987381,2021-01,911849,On or near Davies Street
53.393454,-2.936309,2021-01,910088,On or near Supermarket
53.386324,-2.946873,2021-01,908747,On or near Belem Close
53.401057,-2.918021,2021-01,910070,On or near North Drive
53.409809,-2.978355,2021-01,912037,On or near Commutation Row
53.387722,-2.977503,2021-01,908686,On or near Northumberland Street
53.411080,-2.970290,2021-01,911985,On or near Devon Street
53.392368,-2.963203,2021-01,908663,On or near Hillaby Close
53.408705,-2.992335,2021-01,911837,On or near George Street
53.400318,-2.985883,2021-01,910573,On or near Beckwith Street
53.397544,-2.923676,2021-01,910052,On or near Sports/recreation Area
53.379929,-2.946190,2021-01,908853,On or near Lucerne Street
53.373454,-2.925920,2021-01,906833,On or near Hillview
53.399960,-2.970308,2021-01,910490,On or near Conference/exhibition Centre
53.391743,-2.972708,2021-01,908654,On or near Riverpark Gardens
53.383557,-2.973423,2021-01,908633,On or near Cooperage Close
53.364451,-2.935808,2021-01,905954,On or near Otterspool Drive
53.400429,-2.957880,2021-01,910145,On or near Crown Street
53.378837,-2.945610,2021-01,906927,On or near Livingston Drive
53.395382,-2.944864,2021-01,910234,On or near Lesseps Road
53.399623,-2.932534,2021-01,909991,On or near Bishopgate Street
53.395949,-2.981541,2021-01,910319,On or near Norfolk Street
53.387722,-2.977503,2021-01,908686,On or near Northumberland Street
53.383557,-2.973423,2021-01,908633,On or near Cooperage Close
53.387543,-2.968522,2021-01,908565,On or near Upper Park Street
53.399017,-2.927287,2021-01,910029,On or near Nelson Street
53.379967,-2.948205,2021-01,908856,On or near Lark Way
53.389572,-2.976613,2021-01,908707,On or near Upper Mann Street
53.406618,-2.983878,2021-01,912084,On or near Supermarket
53.407953,-2.983247,2021-01,912053,On or near Parking Area
53.389814,-2.955582,2021-01,908817,On or near Princes Gate West
53.397830,-2.949054,2021-01,910187,On or near Yanwath Street
53.381977,-2.944101,2021-01,908733,On or near Sefton Grove
53.398429,-2.935772,2021-01,909961,On or near Newhouse Road
53.404891,-2.994894,2021-01,910542,On or near Queensway (mersey Tunnel)
53.410687,-2.988635,2021-01,911880,On or near Further/higher Educational Building
53.408415,-2.971900,2021-01,911946,On or near Moor Place
53.400462,-2.911240,2021-01,909826,On or near Olive Mount Road
53.405400,-2.990965,2021-01,910563,On or near Castle Hill
53.407963,-2.988662,2021-01,911851,On or near Dale Street
53.384584,-2.964305,2021-01,908586,On or near Park Road
53.412580,-2.987882,2021-01,911800,On or near Stockdale Close
53.407829,-2.987381,2021-01,911849,On or near Davies Street
53.401595,-2.984694,2021-01,910572,On or near Hospital
53.401509,-2.973351,2021-01,910417,On or near Rodney Street
53.396415,-2.938149,2021-01,909967,On or near Langton Road
53.398211,-2.949724,2021-01,910228,On or near Lodge Lane
53.397823,-2.965567,2021-01,910437,On or near Little Huskisson Street
53.406242,-2.977115,2021-01,912078,On or near Hilbre Street
53.399146,-2.948647,2021-01,910201,On or near Wainwright Close
53.384584,-2.964305,2021-01,908586,On or near Park Road
53.406138,-2.990771,2021-01,911906,On or near Castle Street
